 DECAY0 generated file: Tl208.dat                               

  date and hour         :   10.10.2007    15:45:24
  initial random number :  0
    
  event type: Tl208           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 10000
  1 -0.429921      0.186100      0.204098      0.00000    
  1  0.929346E-03 -0.122206     -0.570047     0.293288E-10
  1  0.700086      0.873672E-01  -2.51803     0.901834E-10
      97  149.466       4
  3  0.322250E-01   1.16553     -0.170318      0.00000    
  1  0.164442     -0.200904     -0.965684E-01 0.368331E-10
  1 -0.405056      0.286788     -0.305895     0.534353E-09
  1   1.35627      -2.22872     -0.177703     0.333048E-10
      98  65.9619       5
  3   1.08257      -1.40193     -0.267174      0.00000    
  3  0.594515E-01  0.391479     -0.268492     0.205275E-11
  1 -0.511563E-01  0.122380E-01  0.705497E-01  0.00000    
  1  0.356445      0.159097      0.433040     0.153434E-09
  1 -0.898260       1.61045       1.85413     0.221079E-10
      99  208.348       3
  3  0.766630     -0.663476      0.742642E-01  0.00000    
  1 -0.136845      0.371070     -0.428333     0.629894E-10
  1   2.05798       1.21918       1.05666     0.787836E-10
     100  23.6707       4
  3 -0.305292      0.592713     -0.482171      0.00000    
  1  0.116072     -0.294269     -0.401316      0.00000    
  1  0.513672     -0.269404     -0.587538E-01 0.593925E-09
  1   1.60547     -0.428054      -2.01928     0.112898E-10
     101  298.004       3
  3  0.314279     -0.176323     -0.522731E-01  0.00000    
  1 -0.570214     -0.898096E-01 -0.817252E-01 0.426395E-09
  1 -0.917229E-01   1.40021      -2.20663     0.226355E-11
     102  29.1602       3
  3 -0.170949     -0.349778      0.918383      0.00000    
  1  0.387202E-01 -0.996531E-01 -0.573113     0.555569E-10
  1 -0.570490     -0.535320       2.49524     0.338925E-10
     103  718.504       4
  3 -0.437187     -0.325821     -0.397185      0.00000    
  1  0.432148     -0.306103E-01 -0.270983      0.00000    
  1  0.357862      0.293608     -0.354426     0.202548E-08
  1 -0.472160       1.11635       2.31712     0.122107E-10
     104  184.099       3
  3 -0.122437      0.407898      0.135110      0.00000    
  1 -0.433699E-01 -0.579097      0.515226E-01 0.110702E-09
  1 -0.198885E-01   2.32638      -1.19406     0.381436E-10
     105  252.043       3
  3  0.574365      -1.30706      0.126433      0.00000    
  1  0.296049      0.265728      0.426184     0.162826E-09
  1   1.42971       1.67432      -1.41096     0.544500E-10
     106  197.302       3
  3  0.187917       1.07181      0.116381      0.00000    
  1 -0.132886     -0.566889      0.294559E-01 0.230215E-08
  1 -0.430281      0.704939E-01   2.57839     0.178515E-10
     107  1123.46       3
  3  -1.93192      0.610727     -0.914406      0.00000    
  1  0.162592      0.554903E-01  0.557112     0.511984E-09
  1 -0.870098      0.548312      -2.40427     0.111009E-09
     108  34.6907       3
  3  0.783112     -0.309944     -0.642766      0.00000    
  1  0.302509      0.169803      0.468556     0.615268E-10
  1   1.05423      -2.25043     -0.813866     0.256815E-10
     109  88.6577       3
  3 -0.552948     -0.622280      0.363592      0.00000    
  1 -0.511397     -0.223031      0.169174     0.645342E-11
  1  -2.06474      -1.09620      -1.17194     0.343061E-10
     110  606.248       3
  3  0.304097      0.670803E-01  0.309192      0.00000    
  1 -0.511615E-01  0.730391     -0.453026     0.300996E-11
  1  -1.83038       1.36912       1.27022     0.135295E-10
     111  466.370       3
  3 -0.603388      -1.08780     -0.551468      0.00000    
  1 -0.377607     -0.245228E-01  0.443509     0.119991E-09
  1  -1.83450      -1.85084      0.217340     0.164999E-10
     112  298.723       4
  3  0.875511      0.419976      0.345718E-02  0.00000    
  1  0.171782E-02 -0.221675     -0.166091     0.382204E-11
  1  0.132423     -0.355480     -0.442705     0.711058E-10
  1   1.27585      -2.08255     -0.934561     0.915245E-11
     113  2.78053       3
  3 -0.211674E-01  0.533713E-01  0.385584E-02  0.00000    
  1 -0.153949      0.560685      0.426730E-01 0.498245E-09
  1  -2.21093     -0.204601       1.38135     0.488734E-10
     114  87.5629       3
  3  0.451524     -0.213227      0.569790      0.00000    
  1 -0.223675     -0.445854     -0.301782     0.197369E-09
  1   2.11063       1.52268     -0.254755     0.124853E-10
     115  621.628       5
  3 -0.745591      -1.00416      0.319301      0.00000    
  3 -0.728021     -0.120483      0.258270      0.00000    
  1  0.717793E-02  0.778152E-01 -0.404632E-01  0.00000    
  1 -0.561396     -0.155874      0.206559E-01 0.579285E-09
  1  -1.57620       1.33676      -1.60215     0.631078E-10
     116  64.4630       3
  3  0.129861      0.715680     -0.687498      0.00000    
  1 -0.703931     -0.417612E-01 -0.494022     0.224900E-11
  1  0.608498       2.03952       1.51931     0.750728E-10
     117  113.105       3
  3 -0.577664      0.769013      0.463588      0.00000    
  1 -0.743728      0.410806      0.139387     0.584504E-11
  1   2.19043      -1.17640     -0.810142     0.206209E-12
     118  523.775       4
  3  0.361662      0.960853E-01 -0.588995      0.00000    
  1  0.142511     -0.713861      0.228610      0.00000    
  1  0.400756     -0.239027     -0.349499     0.508915E-11
  1  -1.96383      0.795691      -1.53247     0.212041E-09
     119  31.1594       3
  3 -0.186988      0.272112     -0.183536      0.00000    
  1 -0.804660E-01 -0.138970     -0.560448     0.172717E-09
  1 -0.205911     -0.977448      -2.41670     0.390085E-11
     120  179.789       5
  3 -0.454760     -0.962251      -1.25513      0.00000    
